Abbreviation,Press
AAA,American Accounting Association
ACM,Association for Computing Machinery
AEA,American Economic Association
AIS,Association for Information Systems
AMA,American Marketing Association
AOM,Academy of Management
APA,American Psychological Association
AR,Annual Reviews
ASCE,American Society of Civil Engineers
Boeck,De Boeck Supérior
Cambridge,Cambridge University Press
Chicago,University of Chicago Press
Elsevier,Elsevier
Emerald,Emerald Group Publishing
Gruyter,De Gruyter Publishers
IEEE,Institute of Electrical and Electronics Engineers
IGI,IGI Global Publications
IIJ,Institutional Investor Journals
Inderscience,Inderscience Publishers
Informs,Institute for Operations Research and the Management Sciences
Kluwer,Kluwer Law International
MIT,MIT Press
Mohr,Mohr Siebeck
Now,Now Publishers
Oxford,Oxford University Press
Palgrave,Palgrave Macmillan
Risk,Risk.net - Financial Risk Management News & Analysis
Sage,Sage Publications Inc
Springer,Springer
Taylor,Taylor & Francis
Wiley,"John Wiley & Sons, Inc."
Wisconsin,University of Wisconsin Press
World,World Scientific
Other,Other presses
